0,1,kmeans_label,agglo_label,ensemble_label
0.4637468,0.88596773,1,1,1.0
0.7356934,0.67731476,1,0,2.0
0.618809,0.7855416,1,1,1.0
0.722105,0.6917834,1,0,2.0
0.9840742,0.1777578,0,0,0.0
0.7098641,0.70433867,1,0,2.0
0.99296564,0.11840292,0,0,0.0
0.7254023,0.68832517,1,0,2.0
0.63337636,0.7738438,1,1,1.0
0.8995304,0.43685827,1,0,2.0
0.36040837,0.93279463,1,1,1.0
-0.9299712,0.36763233,1,1,1.0
-0.3169193,0.9484525,1,1,1.0
0.99922234,-0.03942934,0,0,0.0
0.6694508,0.7428564,1,1,1.0
-0.2912425,0.9566493,1,1,1.0
0.87457037,0.48489872,1,0,2.0
-0.97245276,0.23310034,1,1,1.0
-0.9508316,0.30970833,1,1,1.0
-0.9782105,-0.20761515,1,1,1.0
-0.9697463,0.24411502,1,1,1.0
0.28878054,-0.9573953,0,0,0.0
-0.19062129,0.98166364,1,1,1.0
-0.98314714,0.18281609,1,1,1.0
0.29071054,-0.956811,0,0,0.0
0.82294583,-0.5681198,0,0,0.0
-0.9509787,0.30925632,1,1,1.0
0.82272637,-0.5684377,0,0,0.0
-0.9697621,0.24405201,1,1,1.0
-0.98270583,-0.18517354,1,1,1.0
-0.9968081,0.0798341,1,1,1.0
0.5971726,0.80211276,1,1,1.0
0.82890034,-0.5593964,0,0,0.0
-0.9519546,0.30623946,1,1,1.0
-0.9838091,0.17921963,1,1,1.0
-0.97289836,0.2312331,1,1,1.0
-0.1836839,0.9829854,1,1,1.0
-0.9830003,0.18360417,1,1,1.0
-0.9858634,-0.1675518,1,1,1.0
0.2905567,-0.95685774,0,0,0.0
-0.9712115,-0.2382189,1,1,1.0
0.8301705,-0.55750966,0,0,0.0
0.82897973,-0.55927867,0,0,0.0
0.8303672,-0.5572166,0,0,0.0
0.83162326,-0.55534023,0,0,0.0
0.8315222,-0.5554914,0,0,0.0
0.82995254,-0.55783397,0,0,0.0
-0.9577158,0.28771603,1,1,1.0
0.8305814,-0.55689716,0,0,0.0
0.83194053,-0.55486476,0,0,0.0
0.82817894,-0.5604637,0,0,0.0
0.61810124,0.7860985,1,1,1.0
