0,1,kmeans_label,agglo_label
0.77475923,0.63225645,1,0
0.9674828,0.25293666,0,0
0.44690284,0.8945825,1,0
0.9531248,0.3025774,0,0
0.61301005,0.79007506,1,0
0.94896966,0.31536737,0,0
-0.58403105,0.8117313,1,0
0.95456225,0.2980116,0,0
0.8879759,0.45989013,1,0
0.1556549,0.98781157,1,0
0.6208935,0.78389496,1,0
0.9431261,-0.33243507,0,0
0.04095234,0.9991611,1,0
0.7931272,0.60905606,1,0
-0.05230899,0.9986309,1,0
0.03188636,0.99949145,1,0
0.7464857,-0.66540146,0,0
-0.9952988,0.0968521,1,0
-0.9419756,0.3356814,1,0
0.2742863,-0.96164805,0,0
-0.99249816,0.12225936,1,0
-0.9866506,-0.16285114,1,0
0.0027426635,0.99999624,1,0
-0.9976834,-0.06802844,1,0
-0.97835875,-0.20691626,1,0
0.74370444,-0.6685085,0,0
-0.9420471,0.33548072,1,0
0.7435786,-0.66864854,0,0
-0.99251354,0.122135386,1,0
0.31577203,-0.94883513,0,0
0.7100873,-0.70411366,0,0
0.6770173,0.7359671,1,0
0.74713486,-0.66467243,0,1
0.9089695,-0.41686252,0,0
-0.9955054,-0.09470474,1,0
-0.9956846,0.09280091,1,0
0.003003921,0.9999954,1,0
-0.99792284,-0.064421244,1,0
0.3468541,-0.9379191,0,0
-0.9790371,-0.2036816,1,0
0.21079955,-0.9775293,0,0
0.74620116,-0.6657206,0,1
0.7460751,-0.66586185,0,0
0.7462471,-0.665669,0,1
0.74866205,-0.6629518,0,1
0.74710506,-0.664706,0,1
0.7470193,-0.6648023,0,1
-0.9631039,0.26912987,1,0
0.7469612,-0.66486776,0,1
0.7463029,-0.66560644,0,1
0.74661475,-0.66525656,0,1
0.9078938,0.41920024,1,0
0.6318417,0.77509737,1,0
-0.09594566,0.9953866,1,0
0.5033065,0.86410797,1,0
0.9997391,-0.022841286,0,0
0.98476046,0.17391649,0,0
-0.11608028,0.9932399,1,0
0.041008454,0.9991588,1,0
0.96612215,0.25808522,0,0
-0.55434567,-0.83228654,0,0
-0.9986136,0.052639786,1,0
0.98178375,-0.19000141,0,0
-0.79672277,-0.6043449,0,0
-0.01863657,0.9998264,1,0
0.6781051,0.7349649,1,0
0.99486923,-0.10116893,0,0
0.9714258,-0.23734374,0,0
0.49979442,0.866144,1,0
0.8955128,0.4450358,1,0
-0.38267717,-0.92388207,0,0
-0.5534422,-0.8328876,0,0
0.29352474,0.95595145,1,0
0.2611223,0.96530575,1,0
0.6788549,0.7342724,1,0
0.66388655,0.74783325,1,0
0.9623088,0.27195886,0,0
0.5041844,0.863596,1,0
0.7085199,0.7056909,1,0
0.44725826,0.8944049,1,0
0.420253,0.9074069,1,0
0.89793986,-0.44011822,0,0
0.64519346,0.76401925,1,0
-0.906444,0.42232612,1,0
0.9794243,-0.20181176,0,0
0.9040405,0.4274469,1,0
0.88081527,-0.47346002,0,0
-0.28056598,0.9598347,1,0
0.83031917,0.5572881,1,0
0.92189884,0.38743076,0,0
0.94023544,0.3405251,0,0
0.9345619,0.35580063,0,0
0.9266872,-0.3758335,0,0
0.75062907,-0.6607238,0,0
0.74375564,-0.66845155,0,0
-0.79368293,0.6083317,1,0
-0.25226605,0.9676579,1,0
-0.27017778,0.96281046,1,0
0.81506324,0.57937205,1,0
0.90285385,0.42994756,1,0
0.62225026,-0.78281844,0,0
0.60306686,-0.7976907,0,0
-0.4499245,0.8930665,1,0
-0.88523376,0.46514627,1,0
0.98083985,0.19481598,0,0
0.7419032,-0.67050695,0,0
0.49774012,0.86732614,1,0
-0.5263982,0.85023814,1,0
0.7422271,-0.67014843,0,0
-0.8884466,0.45898005,1,0
0.73080915,-0.6825818,0,0
0.35674807,-0.93420064,0,0
0.46465036,-0.88549423,0,0
-0.2806356,0.9598144,1,0
0.36607265,-0.93058634,0,0
0.31255358,-0.9499001,0,0
0.98786384,-0.15532222,0,0
0.9207212,-0.39022106,0,0
0.8974462,0.44112405,1,0
0.9045634,0.426339,1,0
0.75607425,-0.6544858,0,0
0.6245825,-0.7809588,0,0
0.40364984,-0.91491354,0,0
0.9114785,0.41134763,0,0
0.99954844,-0.030047975,0,0
-0.9999979,-0.002045074,1,0
0.70584387,0.7083674,1,0
-0.046361018,-0.99892473,0,0
0.99956715,-0.029419128,0,0
0.70210934,-0.7120691,0,0
0.96715945,0.25417054,0,0
0.26913756,0.96310174,1,0
0.7141266,0.7000165,1,0
0.9996335,-0.027071517,0,0
0.82710755,0.5620436,1,0
0.9639998,-0.26590294,0,0
0.6537335,-0.7567249,0,0
0.22629562,0.9740586,1,0
0.858158,0.5133856,1,0
0.99964833,-0.02651955,0,0
0.2323247,0.9726383,1,0
0.8658244,-0.50034785,0,0
-0.16765311,0.98584604,1,0
0.74019176,0.6723958,1,0
0.9400637,0.34099892,0,0
0.89035314,0.45527062,1,0
0.68374544,0.7297206,1,0
0.6494659,0.7603907,1,0
0.8861508,0.46339697,1,0
0.9594831,-0.28176633,0,0
0.9250249,0.37990633,0,0
0.9987474,-0.05003584,0,0
0.23720899,0.9714587,1,0
0.63898325,0.7692207,1,0
0.88185596,0.47151875,1,0
0.90792835,-0.4191254,0,0
0.42491624,-0.90523267,0,0
0.8857597,-0.46414408,0,0
0.9843388,0.17628714,0,0
0.77879155,0.6272828,1,0
0.9640153,0.26584676,0,0
0.79926425,0.6009796,1,0
0.63951355,0.7687799,1,0
0.8247171,0.56554544,1,0
-0.2940097,0.9558024,1,0
0.9228847,-0.38507634,0,0
-0.3867493,-0.922185,0,0
0.88641536,0.46289077,1,0
0.9965123,0.08344592,0,0
0.6294709,0.7770241,1,0
-0.9986134,0.0526428,1,0
0.30640513,-0.9519012,0,0
0.99810135,0.061591726,0,0
0.36296833,-0.9318015,0,0
0.94747764,0.31982195,0,0
-0.5917681,-0.80610824,0,0
0.67826086,0.73482126,1,0
-0.29368418,0.9559025,1,0
0.8230959,0.5679023,1,0
0.9591427,-0.28292277,0,0
0.9404813,0.33984542,0,0
0.88098127,-0.47315115,0,0
0.7316806,-0.68164766,0,0
0.96716464,-0.25415063,0,0
-0.53146946,0.8470774,1,0
-0.4894827,0.872013,1,0
-0.83970326,-0.54304546,0,0
-0.45486197,0.890562,1,0
0.95944196,-0.2819061,0,0
-0.577605,0.81631637,1,0
-0.78854525,0.61497676,1,0
0.9062223,0.42280158,1,0
0.8952407,-0.44558287,0,0
-0.9084483,0.41799742,1,0
-0.35752153,0.9339048,1,0
-0.75150037,-0.6597327,0,0
0.99529505,0.09689074,0,0
-0.75145334,-0.6597862,0,0
-0.45623678,0.8898584,1,0
