0,1,kmeans_label,agglo_label
1.2394727,-1.0013509,1,1
0.5274983,-0.76351964,1,1
0.548862,-0.8041985,1,1
0.10592476,-1.4500892,1,1
0.98925257,-0.83292943,1,1
0.14686629,-0.4243369,1,1
-0.19625941,-0.32203725,1,0
0.15744606,-0.41713902,1,1
-0.2734359,-0.06326787,1,0
0.9654857,1.114088,1,0
-0.2592142,-0.06382262,1,0
0.970819,1.1143363,1,0
-0.25706762,-0.059574928,1,0
-0.27387816,-0.055206068,1,0
0.9639778,1.110297,1,0
-0.27830926,-0.04545596,1,0
-0.2824487,-0.060024545,1,0
-0.23163526,-0.0843479,1,0
0.35124776,-2.416987,1,1
-0.3202546,-0.093032494,1,0
0.35241914,-2.417768,1,1
0.3511112,-2.4169807,1,1
0.35106093,-2.4169385,1,1
0.35104045,-2.4169753,1,1
0.35081822,-2.4168959,1,1
0.35186875,-2.4176412,1,1
-0.32152456,-0.08755878,1,0
0.35296914,-2.4182918,1,1
-0.19279696,0.26182532,0,0
-0.31327066,-0.09533576,1,0
0.35484537,-2.4195604,1,1
-0.31756577,-0.097515434,1,0
0.35874394,-2.421336,1,1
0.36763492,-2.4303443,1,1
0.36795634,-2.4260237,1,1
0.35861593,-2.4193437,1,1
0.104814604,-0.730063,1,1
0.35429576,-2.41571,1,1
0.34994003,-2.411497,1,1
0.23136285,-0.8170566,1,1
0.3567268,-2.4174795,1,1
0.34990725,-2.41148,1,1
0.2655224,-0.78910124,1,1
0.35933548,-2.4208446,1,1
0.35861474,-2.4199135,1,1
0.35443532,-2.416317,1,1
0.3561422,-2.417365,1,1
0.3557327,-2.4170609,1,1
0.36044604,-2.4220436,1,1
0.35700846,-2.4184964,1,1
0.3566447,-2.4178743,1,1
-0.4862465,0.5656607,0,0
-0.4855331,0.68928283,0,0
-0.3597254,0.08406415,0,0
-0.34046873,0.23854867,0,0
-0.31029838,0.101668775,0,0
-0.3592042,0.023526253,0,0
-0.33232018,0.04298266,0,0
-0.29899687,0.09627019,0,0
0.9080091,0.2653203,1,1
-0.2672409,0.1066252,0,0
-0.2674643,0.10270036,0,0
0.9228987,0.26644957,1,1
-0.26000988,0.10305845,0,0
0.91113526,0.26099357,1,1
-0.28012425,0.099183016,0,0
-0.26342702,0.09667712,0,0
0.8748679,0.26508057,1,1
-0.64065415,0.72516614,0,0
0.8672938,0.25863233,1,1
0.12499954,-0.36953148,1,1
0.11919592,-0.37004793,1,1
-0.11140646,-0.1556369,1,0
-0.33545566,0.21912189,0,0
-0.3366159,0.22605053,0,0
-0.29108068,-0.009653003,1,0
-0.3356876,0.23023036,0,0
-0.33342022,0.21714391,0,0
-0.25139123,-0.02610506,1,0
-0.3506402,0.08919691,0,0
-0.3516975,0.053509153,0,0
-0.3157977,0.10258908,0,0
-0.35116994,0.014856199,0,0
-0.34340662,0.029482197,0,0
-0.3113499,0.060722984,0,0
-0.34057647,-0.005420407,0,0
-0.2259857,-0.1607652,1,0
-0.3388519,-0.033355985,0,0
0.1228486,-0.38129637,1,1
0.8817785,0.25955525,1,1
-0.29410902,0.091442205,0,0
0.92497593,0.27412477,1,1
0.940173,0.28575313,1,1
0.20773494,-0.41253883,1,1
0.9403815,0.2850746,1,1
0.9372192,0.28289714,1,1
0.9271883,0.27401832,1,1
0.9244116,0.27390888,1,1
0.9408427,0.28482854,1,1
0.9375108,0.27860585,1,1
0.93856907,0.28238806,1,1
0.93970984,0.2833119,1,1
0.26210108,-0.44105068,1,1
0.9475644,0.2873687,1,1
0.9410776,0.28535214,1,1
0.9404171,0.28601632,1,1
0.9412277,0.28530127,1,1
0.94165623,0.2858478,1,1
0.9400939,0.286073,1,1
0.93927073,0.28638485,1,1
0.9243653,0.27485344,1,1
0.9404288,0.28473943,1,1
0.9424986,0.284833,1,1
0.941176,0.28517878,1,1
0.9420224,0.28656438,1,1
0.93736035,0.28583235,1,1
0.93936455,0.28635392,1,1
0.9251818,0.27492967,1,1
0.92482066,0.27625912,1,1
0.919871,0.2696023,1,1
0.9398881,0.2814594,1,1
0.9386124,0.28221583,1,1
0.949713,0.2905425,1,1
0.9482997,0.28028035,1,1
0.22638296,-0.35640076,1,1
0.94591576,0.27825743,1,1
0.23220326,-0.44038063,1,1
1.1697296,0.093883224,1,1
1.1702147,0.08314739,1,1
1.2177364,-0.5812351,1,1
1.1548402,0.07467083,1,1
0.25012752,-0.46185762,1,1
1.2060747,-0.58369815,1,1
1.0838906,-0.14487088,1,1
1.2033002,-0.52791995,1,1
1.1723803,0.0945282,1,1
0.29238376,-0.4820906,1,1
1.2034019,-0.50854874,1,1
1.1880618,0.14993465,1,1
1.1916672,-0.5087928,1,1
1.1899394,0.14816265,1,1
0.28955442,-0.4425784,1,1
1.204329,0.15641049,1,1
1.198699,0.15345274,1,1
1.2062051,-0.4941545,1,1
1.200094,0.15475555,1,1
1.1859118,0.109294385,1,1
1.2068917,0.1613175,1,1
1.2005401,0.1570631,1,1
1.1894747,0.11442491,1,1
1.2029849,0.15759864,1,1
1.2008505,0.15521672,1,1
1.2043518,0.1588323,1,1
1.198282,0.15718389,1,1
1.197729,0.1503673,1,1
1.1955091,0.15315112,1,1
1.1901803,0.1390823,1,1
0.31465423,-0.49091473,1,1
1.1892004,0.13260274,1,1
0.30543706,-0.4848997,1,1
1.1571742,-0.04826663,1,1
1.1834699,0.12699184,1,1
1.1542034,-0.05808627,1,1
0.34282094,-0.49845114,1,1
1.1363169,-0.5533038,1,1
0.30164704,-0.48081353,1,1
1.1895963,0.13750455,1,1
1.2025048,-0.4920316,1,1
1.1939439,-0.49359444,1,1
1.1978785,0.15085681,1,1
1.199413,0.15093994,1,1
1.1421297,-0.076100804,1,1
1.1886764,0.14133729,1,1
1.1984676,0.15050282,1,1
1.1889185,0.14183967,1,1
1.1853386,-0.499509,1,1
0.2724306,-0.63541716,1,1
0.2540249,-1.3909338,1,1
-0.31629917,-1.7767725,1,1
-0.059086088,-0.576044,1,0
